,MoDaHr,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy,SourceEnergy
,Fuel=,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,Elec,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,NatGas,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane,Propane
,CZ=,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,10202,3.459587012,3.459587012,3.459587012,3.459587012,3.459587012,2.360121293,2.353637387,2.360121293,2.360121293,2.360121293,3.459587012,3.459587012,3.459587012,2.360121293,2.360121293,2.360121293,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10203,3.737939641,3.737939641,3.737939641,3.737939641,3.737939641,2.431934557,2.425253359,2.431934557,2.431934557,2.431934557,3.737939641,3.737939641,3.737939641,2.431934557,2.431934557,2.431934557,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10204,3.905626678,3.905626678,3.905626678,3.905626678,3.905626678,3.138110749,3.12948949,3.138110749,3.138110749,3.138110749,3.905626678,3.905626678,3.905626678,3.138110749,3.138110749,3.138110749,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10205,4.212034989,4.212034989,4.212034989,4.212034989,4.212034989,3.781208249,3.770820224,3.781208249,3.781208249,3.781208249,4.212034989,4.212034989,4.212034989,3.781208249,3.781208249,3.781208249,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10206,4.275395885,4.275395885,4.275395885,4.275395885,4.275395885,3.982126181,3.971186178,3.982126181,3.982126181,3.982126181,4.275395885,4.275395885,4.275395885,3.982126181,3.982126181,3.982126181,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10207,4.276613975,4.276613975,4.276613975,4.276613975,4.276613975,3.992147438,3.981179904,3.992147438,3.992147438,3.992147438,4.276613975,4.276613975,4.276613975,3.992147438,3.992147438,3.992147438,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10208,4.279198746,4.279198746,4.279198746,4.279198746,4.279198746,3.987287374,3.976333192,3.987287374,3.987287374,3.987287374,4.279198746,4.279198746,4.279198746,3.987287374,3.987287374,3.987287374,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10209,4.406250016,4.406250016,4.406250016,4.406250016,4.406250016,3.890287063,3.88622927,3.890287063,3.890287063,3.890287063,4.406250016,4.406250016,4.406250016,3.890287063,3.890287063,3.890287063,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10210,4.27209103,4.27209103,4.27209103,4.27209103,4.27209103,2.340915751,2.338474041,2.340915751,2.340915751,2.340915751,4.27209103,4.27209103,4.27209103,2.340915751,2.340915751,2.340915751,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,10211,3.082667692,3.082667692,3.082667692,3.082667692,3.082667692,1.903259097,1.901273889,1.903259097,1.903259097,1.903259097,3.082667692,3.082667692,3.082667692,1.903259097,1.903259097,1.903259097,93.13284291,93.13284291,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,91.8231482,91.8231482,93.13284291,93.13284291,93.13284291,91.8231482,91.8231482,91.8231482,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
