;,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012TrmlUnit,,,,,,,,,,,,,,
PropName,BaseName,Type,System,Zone,PriAirFlowMax,PriAirFlowMin,HtgAirFlowMax,ReheatCtrlMthd,,,,,,
BaseSys6 Fan-Bot,BaseSys6 SupFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,27102.6,5752.946,0.65,PowerPerUnitFlow,2.771,18.205,20,InAirStream,0.93,0.5385
BaseSys6 Fan-Mid,BaseSys6 SupFan-3,VariableSpeedDrive,BaseAirSys6-3,UNDEFINED,30041.844,5752.946,0.65,PowerPerUnitFlow,4.93,35.905,40,InAirStream,0.941,0.947
BaseSys6 Fan-Hi,BaseSys6 SupFan-4,VariableSpeedDrive,BaseAirSys6-4,UNDEFINED,29958.702,5752.946,0.65,PowerPerUnitFlow,4.93,35.806,40,InAirStream,0.941,0.947
BaseSys6 Fan-Top,BaseSys6 SupFan-5,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,28370.05,5752.946,0.65,PowerPerUnitFlow,2.761,18.993,20,InAirStream,0.93,0.5367
BaseSys6 RetFan,BaseSys RetFan,VariableSpeedDrive,BaseAirSys6,UNDEFINED,23525.379,0,0.65,PowerPerUnitFlow,2.785,15.883,20,InAirStream,0.93,0.5413
BaseSys6 RetFan-Bot,BaseSys RetFan-2,VariableSpeedDrive,BaseAirSys6-2,UNDEFINED,24392.34,0,0.65,PowerPerUnitFlow,2.771,16.385,20,InAirStream,0.93,0.5385
BaseSys6 RetFan-Top,BaseSys RetFan-3,VariableSpeedDrive,BaseAirSys6-5,UNDEFINED,25533.045,0,0.65,PowerPerUnitFlow,2.761,17.094,20,InAirStream,0.93,0.5367
ENDTABLE,,,,,,,,,,,,,,
TABLE OffLrgCECStd22040012OACtrl,,,,,,,,,,,,,,
PropName,BaseName,EconoCtrlMthd,System,EconoIntegration,,,,,,,,,,
;,,,,,,,,,,,,,,
BaseSys6 OACtrl,BaseSys6 OACtrl,FixedDryBulb,BaseAirSys6,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Bot,BaseSys6 OACtrl-2,FixedDryBulb,BaseAirSys6-2,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Mid,BaseSys6 OACtrl-3,FixedDryBulb,BaseAirSys6-3,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Hi,BaseSys6 OACtrl-4,FixedDryBulb,BaseAirSys6-4,Integrated,,,,,,,,,,
BaseSys6 OACtrl-Top,BaseSys6 OACtrl-5,FixedDryBulb,BaseAirSys6-5,Integrated,,,,,,,,,,
ENDTABLE,,,,,,,,,,,,,,
